d2e0eeff-5207-59f2-7173-a5b18f2988ff,React Hooks Premium Socks,16.66,Navy Blue,XSS,True,2024-12-06T20:28:13,2025-07-10T10:33:55,Polyester,"Libero aliquam nesciunt sit qui eveniet rerum quaerat voluptatum aut necessitatibus.",StateWear
9f5670ed-d406-c1a1-8a74-ec172c0495ec,React Hooks Premium Socks,28.56,Pink,XS,True,2024-06-29T19:31:04,2025-07-30T23:49:46,Cotton Blend,"Sunt rerum voluptas repudiandae vel aut similique officia tempora quisquam.",FullStackFeet
baa2c166-a9f0-fea8-56a5-53160397e0c7,React Hooks Premium Socks,31.02,Red Orange,S,True,2024-07-15T10:18:20,2025-07-29T18:17:52,Bamboo Fiber,"Dolorem error veritatis assumenda et repellendus laborum voluptatem.",ContainerWear
88ccd996-9c80-a211-f0a3-d4f045251459,React Hooks Premium Socks,33.14,Magenta,M,True,2024-05-10T08:10:48,2025-09-14T17:38:06,Compression Material,"Et sapiente magni qui dolores eum qui modi alias vel nam rerum asperiores id autem quis labore esse molestias.",QualityThreads
3d40143c-35ac-7f0d-53c2-c14915b89804,React Hooks Premium Socks,20.53,White,L,True,2025-03-31T09:05:29,2025-07-08T13:40:12,Polyester,"Consequatur recusandae natus esse et ut dolorem quia dolores praesentium at.",UtilityThreads
43f3f74a-8cb6-537b-8d76-5a571de62bde,React Hooks Premium Socks,33.19,Navy Blue,XL,True,2025-02-06T05:55:41,2025-09-07T11:19:25,Cotton Blend,"Accusantium nihil ea incidunt molestias modi doloremque et.",ResponsiveFit
530ded7b-6a88-f569-0d87-e8c5ce441e4a,React Hooks Premium Socks,20.64,Teal,XLL,True,2024-08-23T08:55:53,2025-06-24T17:26:47,Polyester,"Harum dolores quo iure illo rem sequi quia qui iusto dolores repellat molestiae magni.",CodeComfort
a090ed43-f085-17f2-529a-f6577b2eb2c3,Vue.js Reactive Comfort Socks,25.64,Purple Blue,XLL,False,2025-06-16T02:48:11,2025-07-17T18:54:41,Merino Wool,"Nostrum rerum cumque ab rerum et totam consequatur culpa eum.",LightThreads
5534c688-3ea1-fc89-b86a-ac30eaa20588,Vue.js Reactive Comfort Socks,21.55,Gray,XSS,False,2024-05-17T03:06:02,2025-07-18T23:12:33,Wool Blend,"Reprehenderit a rerum quia aut nulla quaerat facilis et temporibus.",CodeComfort
08319c0a-d4de-6e8a-8d63-c82ae0e19d55,Vue.js Reactive Comfort Socks,32.59,Light Blue,M,False,2024-03-01T13:44:27,2025-09-17T21:27:55,Cotton Blend,"Numquam voluptatem et et et nisi quis exercitationem id.",DevWear
